$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
   15 116    39    39  15.1 -15.0 13.21  3.21  0.27  1.78  39.6  0.37 0.033  0.40   595    21    90   484    97   387     0  0.00     0     0   340     0 4.722 0.436  70.2     0     0   375   380  0.39  0.75  40.5  50.4  1.48  0.00  0.00  0.00  0.19  0.19  0.19   0.9  0.00  0.00  0.00  0.21
   15 117    40    40  14.5 -15.0 13.33  3.33  0.28  1.83  56.1  0.39 0.036  0.43   646    21    98   526   104   422     0  0.00     0     0   371     0 4.722 0.501  70.6     0     0   375   379  0.40  0.75  46.1  41.5  1.96  0.00  0.00  0.00  0.17  0.17  0.17   1.4  0.00  0.00  0.00  0.20
   15 118    41    41   8.3 -15.0 13.40  3.40  0.29  1.88  41.8  0.41 0.037  0.44   683    21   104   558   107   450     0  0.00     0     0   398     0 4.722 0.542  71.3     0     0   375   378  0.41  0.76  51.9  75.6  4.21  0.00  0.00  0.00  0.15  0.15  0.15   2.0  0.00  0.17  0.00  0.20
   15 119    42    42   7.0 -15.0 13.45  3.45  0.30  1.92  55.9  0.41 0.038  0.45   734    21   112   600   110   490     0  0.00     0     0   437     0 4.722 0.578  72.7     0     0   375   377  0.42  0.76  50.4  56.7  3.45  0.00  0.00  0.00  0.13  0.13  0.13   2.0  0.00  0.30  0.00  0.19
   15 120    43    43  10.4 -15.0 13.54  3.54  0.31  1.94  52.5  0.43 0.040  0.47   781    21   120   640   115   525     0  0.00     0     0   468     0 4.722 0.636  73.2     0     0   375   376  0.43  0.76  50.5  56.9  3.72  0.00  0.00  0.00  0.12  0.12  0.12   2.0  0.00  0.00  0.00  0.19
   15 121    44    44   8.6 -15.0 13.61  3.61  0.32  1.98  24.0  0.45 0.041  0.49   803    21   123   658   119   539     0  0.00     0     0   481     0 4.722 0.688  73.0     0     0   375   375  0.44  0.76  75.3  99.9  9.41  0.00  0.00  0.00  0.11  0.11  0.11   2.0  0.00  0.14  0.00  0.18
   15 122    45    45  10.5 -15.0 13.70  3.70  0.33  2.00  45.6  0.47 0.043  0.51   844    21   129   693   125   569     0  0.00     0     0   507     0 4.722 0.753  73.2     0     0   375   374  0.45  0.77  72.5  96.5  4.82  0.00  0.00  0.00  0.09  0.09  0.09   2.0  0.00  0.00  0.00  0.18
   15 123    46    46  13.2 -15.0 13.81  3.81  0.34  2.03  47.9  0.49 0.046  0.54   887    21   136   730   132   598     0  0.00     0     0   533     0 4.722 0.838  73.0     0     0   375   373  0.46  0.77  79.2  95.9  4.61  0.00  0.00  0.00  0.08  0.08  0.08   2.0  0.00  0.00  0.00  0.17
   15 124    47    47  17.5 -15.0 13.96  3.96  0.36  2.06  52.8  0.53 0.049  0.58   935    21   143   771   141   629     0  0.00     0     0   559     0 4.722 0.957  72.5     0     0   375   372  0.48  0.77  69.6  70.3  4.04  0.00  0.00  0.00  0.07  0.07  0.07   2.0  0.00  0.00  0.00  0.17
   15 125    48    48  19.4 -15.0 14.12  4.12  0.38  2.09  80.3  0.57 0.053  0.62  1008    21   154   833   153   680     0  0.00     0     0   603     0 4.722 1.096  72.5     0     0   375   370  0.50  0.77  70.4  45.4  2.71  0.00  0.00  0.00  0.05  0.05  0.05   2.0  0.00  0.00  0.00  0.16
