$PLANT NITROGEN ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  NUAC  TNAD SDNAD  RNAD  CNAD  LNAD  SNAD  HNAD   HIND  RSNAD  SNNPD SNN0D SNN1D  RN%D  LN%D  SN%D   HN%D  SDN%D   VN%D LN%RD SN%RD RN%RD  VCN%  VMN% NUPRD NDEMD
   15 144    67    67  12.1 16.21  35.5  36.8  0.00  7.46  29.3  19.1   0.8   0.0   0.00   0.08   0.00 0.616 .0614 1.875 5.023 0.957   0.00   0.00   1.23  1.00  1.00  1.00   4.5  0.67  0.95  2.13
   15 145    68    68  14.6 30.15  37.3  38.6  0.00  7.69  30.9  20.1   0.8   0.0   0.00   0.09   0.00 0.631 .0654 1.856 4.906 0.925   0.00   0.00   1.23  0.99  0.98  0.99   4.4  0.67  0.69  2.66
   15 146    69    69  11.6 30.67  38.7  40.1  0.00  7.90  32.1  20.9   0.9   0.0   0.00   0.07   0.00 0.642 .0688 1.840 4.802 0.892   0.00   0.00   1.23  0.98  0.95  0.98   4.4  0.66  0.64  2.28
   15 147    70    70   9.2 31.08  40.0  41.3  0.00  8.15  33.2  21.5   1.0   0.0   0.00   0.06   0.00 0.651 .0715 1.822 4.751 0.874   0.00   0.00   1.21  0.98  0.94  0.98   4.3  0.66  0.71  1.82
   15 148    71    71  11.9 31.61  41.4  42.7  0.00  8.48  34.2  22.2   1.1   0.0   0.00   0.07   0.00 0.663 .0752 1.801 4.626 0.829   0.00   0.00   1.17  0.96  0.90  0.97   4.2  0.66  0.54  2.53
   15 149    72    72  15.6 32.30  42.5  43.8  0.00  8.80  35.0  22.6   1.1   0.0   0.00   0.09   0.00 0.679 .0804 1.782 4.420 0.759   0.00   0.00   1.13  0.93  0.83  0.96   4.1  0.65  0.36  3.11
   15 150    73    73  14.9 32.97  43.5  44.7  0.00  9.01  35.7  23.1   1.2   0.0   0.00   0.08   0.00 0.694 .0855 1.770 4.261 0.724   0.00   0.00   1.12  0.91  0.80  0.95   4.1  0.65  0.36  2.74
   15 151    74    74  15.4 33.65  44.2  45.5  0.00  9.28  36.2  23.4   1.2   0.0   0.00   0.08   0.00 0.709 .0909 1.756 4.082 0.670   0.00   0.00   1.08  0.88  0.75  0.95   4.0  0.65  0.26  2.90
   15 152    75    75  19.0 34.50  44.9  46.1  0.00  9.58  36.6  23.6   1.2   0.0   0.00   0.10   0.00 0.728 .0979 1.741 3.758 0.610   0.00   0.00   1.04  0.83  0.69  0.94   3.9  0.64  0.15  4.76
   15 153    76    76  19.8 35.37  45.6  46.8  0.00  9.84  37.0  23.9   1.2   0.0   0.00   0.09   0.00 0.747 0.105 1.729 3.489 0.565   0.00   0.00   1.02  0.78  0.65  0.94   3.8  0.64  0.15  4.79
