$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 126    49    49  11.6 14.21  1.64 0.617  0.04 0.582 15.44  21.3 6.745 1.185     0     0  5.42  0.78 0.514  1.58  0.44  0.17  0.06  0.01  0.00  0.00  0.00  0.00  0.00
   15 127    50    50  13.0 14.32  1.67 0.646  0.05 0.599 16.02  21.3 9.027 1.290     0     0  5.44  0.78 0.528  1.61  0.47  0.19  0.07  0.01  0.00  0.00  0.00  0.00  0.00
   15 128    51    51  15.5 14.45  1.70 0.681  0.06 0.620 16.67  21.3 11.75 1.423     0     0  5.46  0.78 0.544  1.64  0.50  0.22  0.09  0.02  0.00  0.00  0.00  0.00  0.00
   15 129    52    52  14.2 14.57  1.73 0.713  0.07 0.639 17.45  21.3 14.26 1.554     0     0  5.48  0.78 0.559  1.66  0.51  0.24  0.10  0.03  0.00  0.00  0.00  0.00  0.00
   15 130    53    53  13.2 14.68  1.75 0.743  0.09 0.657 18.17  21.3 16.59 1.682     0     0  5.51  0.79 0.573  1.69  0.54  0.27  0.12  0.04  0.00  0.00  0.00  0.00  0.00
   15 131    54    54  13.7 14.79  1.78 0.776  0.10 0.677 18.85  21.3 19.01 1.823     0     0  5.55  0.79 0.588  1.73  0.57  0.30  0.13  0.05  0.00  0.00  0.00  0.00  0.00
   15 132    55    55  18.0 14.94  1.82 0.821  0.11 0.712 19.55  21.3 21.00 2.020     0     0  5.59  0.79 0.607  1.78  0.60  0.33  0.15  0.06  0.00  0.00  0.00  0.00  0.00
   15 133    56    56  17.8 15.09  1.86 0.883  0.11 0.775 20.47  21.3 21.00 2.230     0     0  5.63  0.79 0.623  1.80  0.62  0.35  0.17  0.08  0.00  0.00  0.00  0.00  0.00
   15 134    57    57  15.0 15.22  1.89 0.947  0.13 0.822 21.39  21.3 24.35 2.415     0     0  5.65  0.79 0.637  1.83  0.65  0.37  0.18  0.09  0.00  0.00  0.00  0.00  0.00
   15 135    58    58  11.4 15.31  1.91     1  0.14 0.860 22.17  21.3 26.91 2.563     0     0  5.68  0.79 0.648  1.85  0.67  0.40  0.20  0.10  0.01  0.00  0.00  0.00  0.00
   15 136    59    59  12.8 15.42  1.94 1.057  0.15 0.904 22.76  21.3 29.78 2.735     0     0  5.72  0.80 0.659  1.88  0.70  0.43  0.22  0.12  0.01  0.00  0.00  0.00  0.00
   15 137    60    60  14.1 15.54  1.97 1.124  0.17 0.955 23.43  21.3 32.97 2.937     0     0  5.75  0.80 0.673  1.91  0.72  0.45  0.23  0.13  0.01  0.00  0.00  0.00  0.00
   15 138    61    61  15.4 15.66  2.00 1.200  0.19 1.014 24.17  21.3 36.44 3.167     0     0  5.79  0.80 0.687  1.95  0.75  0.48  0.26  0.15  0.02  0.00  0.00  0.00  0.00
   15 139    62    62  13.9 15.78  2.04 1.271  0.20 1.069 24.98  21.3 39.61 3.388     0     0  5.82  0.80 0.700  1.98  0.78  0.51  0.27  0.16  0.03  0.00  0.00  0.00  0.00
   15 140    63    63   8.4 15.85  2.07 1.308  0.21 1.103 26.01  21.3 40.20 3.526     0     0  5.85  0.80 0.707  2.00  0.80  0.52  0.28  0.17  0.03  0.00  0.00  0.00  0.00
   15 141    64    64   9.8 15.93  2.10 1.358  0.21 1.149 26.71  21.3 40.90 3.691     0     0  5.88  0.80 0.716  2.02  0.82  0.54  0.30  0.19  0.04  0.00  0.00  0.00  0.00
   15 142    65    65   9.9 16.01  2.13 1.414  0.21 1.201 27.52  21.3 41.61 3.863     0     0  5.93  0.81 0.726  2.06  0.85  0.57  0.32  0.21  0.04  0.00  0.00  0.00  0.00
   15 143    66    66  11.7 16.11  2.17 1.509  0.22 1.293 28.34  21.3 42.45 4.078     0     0  5.97  0.81 0.736  2.09  0.88  0.59  0.33  0.22  0.05  0.00  0.00  0.00  0.00
   15 144    67    67  12.1 16.21  2.21 1.608  0.22 1.388 29.31  21.3 43.32 4.311     0     0  6.01  0.81 0.748  2.12  0.91  0.61  0.35  0.24  0.06  0.00  0.00  0.00  0.00
   15 145    68    68  14.6 30.15  2.26 1.727  0.23 1.501 30.33  21.3 44.37 4.601     0     0  6.06  0.81 0.761  2.16  0.94  0.64  0.37  0.26  0.07  0.00  0.00  0.00  0.00
   15 146    69    69  11.6 30.67  2.30 1.820  0.23 1.590 31.54  21.3 45.21 4.841     0     0  6.10  0.81 0.772  2.19  0.96  0.66  0.38  0.27  0.08  0.00  0.00  0.00  0.00
